Net,Sta,Lat,Lon,Elev,Start,End
IV,MERA,45.7054 N,9.4291 E,338,2009,
IV,MESG,40.5894 N,17.8504 E,78,2009,
IV,MEU,37.1111 N,14.8300 E,986,2003,
IV,MF5,42.9878 N,13.4597 E,723,2012,
IV,MFNL,37.7908 N,12.9224 E,677,2003,
IV,MGAB,42.9126 N,12.1121 E,547,2008,
IV,MGR,40.1376 N,15.5535 E,288,2003,
IV,MIDA,41.6419 N,14.2540 E,950,2004,
IV,MIGL,40.6044 N,16.4410 E,440,2006,
IV,MILN,45.4803 N,9.2321 E,125,2012,
IV,MILZ,38.2713 N,15.2313 E,0,2007,
IV,MIR07,45.0810 N,11.1300 E,13,2012,2012
IV,MMGO,37.6620 N,12.9767 E,397,2003,
IV,MMME,37.9352 N,15.2539 E,959,2004,2012
IV,MMN,39.8910 N,15.9904 E,921,2009,
IV,MMO1,42.8993 N,13.3268 E,957,2016,
IV,MMUR,43.4418 N,12.9973 E,800,2008,
IV,MNO,37.9310 N,14.6950 E,1830,2003,
IV,MNS,42.3855 N,12.6811 E,706,2003,2013
IV,MNTP,43.1374 N,13.4693 E,325,2012,
IV,MNTV,45.1495 N,10.7897 E,36,2012,
IV,MOCL,44.0049 N,11.1808 E,639,2016,
IV,MOCO,41.3700 N,15.1580 E,1049,2005,
IV,MODE,44.6297 N,10.9492 E,41,2007,
IV,MODR,41.1459 N,13.8779 E,345,2007,
IV,MOMA,42.8039 N,12.5701 E,1040,2011,
IV,MONC,45.0739 N,7.9271 E,480,2005,
IV,MPAG,43.6292 N,12.7595 E,930,2009,
IV,MPAZ,37.9531 N,16.0067 E,496,2006,
IV,MPG,38.1617 N,13.3600 E,600,2003,
IV,MPNC,38.1465 N,15.3528 E,479,2010,
IV,MPPT,43.9575 N,11.0903 E,752,2015,
IV,MRB1,41.1227 N,14.9682 E,688,2003,
IV,MRCB,38.1620 N,15.7030 E,500,2007,2009
IV,MRGE,45.7698 N,7.0610 E,1660,2005,
IV,MRLC,40.7564 N,15.4889 E,605,2003,
IV,MRVN,41.0609 N,16.1958 E,610,2007,
IV,MSAG,41.7120 N,15.9096 E,890,2006,
IV,MSCL,38.2320 N,15.7900 E,893,2007,
IV,MSFR,38.0339 N,14.5916 E,723,2011,
IV,MSRU,38.2639 N,15.5083 E,408,2004,
IV,MSSA,44.3162 N,9.5174 E,930,2008,
IV,MTCE,42.0228 N,12.7422 E,388,2003,
IV,MTCR,44.0280 N,11.0024 E,1290,2013,
IV,MTGR,37.8934 N,12.7593 E,751,2003,
IV,MTL1,43.2567 N,13.0096 E,353,2011,
IV,MTMR,40.9184 N,15.0026 E,850,2017,
IV,MTRA,42.7567 N,13.3965 E,809,2017,
IV,MTRZ,44.3128 N,11.4248 E,570,2007,
IV,MTSN,40.2663 N,15.7515 E,1056,2006,
IV,MTTG,38.0031 N,15.6999 E,484,2003,
IV,MUCR,38.0430 N,14.8739 E,1042,2011,
